"sensor_name","sensor_id","date_installed","tidally_influenced","date_removed","street_name","borough","zipcode","community_board","council_district","census_tract","nta","latitude","longitude","lowest_point_height_delta_inches","location"
"Q - 44th Dr / Jackson Ave","Q-44th-dr-jackson-ave-2k9oqo","2025-08-29T00:00:00.000","No",,"44th Drive","Queens","11101","402","QN02","4001902","QN0201","40.74718","-73.94253","2.4","POINT (-73.94253 40.74718)"
"BK - Logan St/Etna St","BK-logan-st-etna-st-2bkxrc","2025-03-13T00:00:00.000","No",,"Etna Street","Brooklyn","11208","305","BK05","3117601","BK0501","40.685682","-73.878689","8.03","POINT (-73.878689 40.685682)"
"Q - Saint James Ave/Broadway","Q-saint-james-ave-broadway-214qw0","2024-08-22T00:00:00.000","No",,"Broadway","Queens","11373","404","QN04","4047100","QN0401","40.740064","-73.878522","11.54","POINT (-73.878522 40.740064)"
"Q - 1st St/104th St","Q-1st-st-104th-st-1a5t00","2023-03-17T00:00:00.000","Yes",,"1st Street","Queens","11414","410","QN10","4088400","QN1003","40.655908","-73.828642","11.89","POINT (-73.828642 40.655908)"
"BK - Flatlands Ave/E 80th St","BK-flatlands-ave-e-80th-st-1umm00","2024-04-18T00:00:00.000","No",,"Flatlands Avenue","Brooklyn","11236","318","BK18","3095000","BK1803","40.635483","-73.913574","8.5","POINT (-73.913574 40.635483)"
"BK - 4th Av/Garfield Pl","BK-4th-av-garfield-pl-0erv80","2021-07-15T00:00:00.000","No",,"4th Avenue","Brooklyn","11215","306","BK06","3013300","BK0602","40.675855","-73.983944","11.26","POINT (-73.983944 40.675855)"
"BX - Wilson Ave/E 214th St","BX-wilson-ave-e-214th-st-2cap4c","2025-03-27T00:00:00.000","No",,"Wilson Avenue","Bronx","10469","212","BX12","2038600","BX1202","40.87613","-73.85103","7.83","POINT (-73.85103 40.87613)"
"M - Dyckman St/Payson Ave","M-dyckman-st-payson-ave-1yht40","2024-07-02T00:00:00.000","No",,"Dyckman Street, West 200th Street","Manhattan","10034","112","MN12","1028700","MN1202","40.866835","-73.928972","17.28","POINT (-73.928972 40.866835)"
"BK - Atlantic Ave/ Fort Greene Pl","BK-fort-greene-pl-atlantic-ave-2rrw0c","2026-01-22T00:00:00.000","No",,"Fort Greene Place, 5th Avenue","Brooklyn","11217","302","BK02","3003500","BK0203","40.68357","-73.97563","6.61","POINT (-73.97563 40.68357)"
"BX - Webster Ave/Mosholu Pkwy S","BX-e-mosholu-parkway-south-webster-ave-2calz0","2025-03-27T00:00:00.000","No",,"East Mosholu Parkway South","Bronx","10458","207","BX07","2041500","BX0702","40.86869","-73.88155","11.61","POINT (-73.88155 40.86869)"
"BK - Ditmas Ave/Westminster Rd","BK-ditmas-ave-westminster-rd-1lbfc0","2023-10-20T00:00:00.000","No",,"Westminster Road, East 12th Street","Brooklyn","11218","314","BK14","3052600","BK1402","40.63563","-73.96627","12.36","POINT (-73.96627 40.63563)"
"SI - Myrtle Ave / N Burgher Ave","SI-n-burgher-ave-myrtle-ave-2agbmo","2025-02-19T00:00:00.000","No",,"Myrtle Avenue","Staten Island","10310","501","SI01","5010500","SI0104","40.630218","-74.113455","9.13","POINT (-74.113455 40.630218)"
"BX - Edgewater Rd/Seneca Ave","BX-edgewater-rd-seneca-ave-214yhc","2024-08-22T00:00:00.000","No",,"Edgewater Road","Bronx","10474","202","BX02","2011502","BX0201","40.819327","-73.88379","10.55","POINT (-73.88379 40.819327)"
"BK - Humboldt St / Norman Ave","BK-humboldt-st-norman-ave-2k9nco","2025-08-29T00:00:00.000","No",,"Humboldt Street","Brooklyn","11222","301","BK01","3057300","BK0101","40.727447","-73.945762","7.83","POINT (-73.945762 40.727447)"
"M - Nagle Ave/Dyckman St","M-nagle-ave-dyckman-st-1yhf80","2024-07-02T00:00:00.000","No",,"Dyckman Street, West 200th Street","Manhattan","10040","112","MN12","1028500","MN1202","40.861746","-73.924982","12.83","POINT (-73.924982 40.861746)"
"Q - 71st Ave/75th St","Q-71st-ave-75th-st-1vcro0","2024-05-02T00:00:00.000","No",,"75th Street","Queens","11379","405","QN05","4061900","QN0504","40.707006","-73.875512","5.98","POINT (-73.875512 40.707006)"
"BK - Whitty Ln/E 56th St","BK-whitty-ln-e-56th-st-20rvlo","2024-08-15T00:00:00.000","No","2024-12-20T00:00:00.000","East 56th Street","Brooklyn","11203","317","BK17","3094600","BK1703","40.641079","-73.923355","16.06","POINT (-73.923355 40.641079)"
"Q - 164 Pl/109th Ave","Q-164-pl-109th-ave-1jtn80","2023-09-21T00:00:00.000","No",,"164th Place","Queens","11433","412","QN12","4025800","QN1202","40.695632","-73.788393","24.25","POINT (-73.788393 40.695632)"
"M - E 116th St/FDR Drive","M-e-111th-st-a-new-st-1yjl00","2024-07-03T00:00:00.000","No","2024-12-13T00:00:00.000","East 110th Street","Manhattan","10029","111","MN11","1016200","MN1101","40.792351","-73.936903","59.65","POINT (-73.936903 40.792351)"
"Q - 51st Ave/Jacobus St","Q-51st-ave-jacobus-st-20q7k0","2024-08-14T00:00:00.000","No",,"51st Avenue","Queens","11373","404","QN04","4047900","QN0401","40.736665","-73.887746","10.71","POINT (-73.887746 40.736665)"
"SI - Haven Ave/ Adam Ave","SI-haven-ave-adam-ave-1qijg0","2024-01-29T00:00:00.000","No",,"Adams Avenue","Staten Island","10306","502","SI02","5011201","SI0202","40.579297","-74.098201","7.44","POINT (-74.098201 40.579297)"
"M - W 29th St/12th Ave","M-12th-ave-w-29th-st-2nvb9o","2025-11-07T00:00:00.000","No",,"West 29th Street","Manhattan","10018","104","MN04","1009902","MN0401","40.753704","-74.006925","6.61","POINT (-74.006925 40.753704)"
"SI - Catherine Ct/Jewett Ave","SI-catherine-ct-jewett-ave-1wu5w0","2024-05-31T00:00:00.000","No",,"Jewett Avenue","Staten Island","10302","501","SI01","5013302","SI0106","40.631311","-74.130524","29.53","POINT (-74.130524 40.631311)"
"Q - 31st Ave/ 32nd St","Q-31st-ave-32nd-st-2ausk0","2025-02-27T00:00:00.000","No",,"31st Avenue","Queens","11106","401","QN01","4006100","QN0103","40.763964","-73.922841","8.27","POINT (-73.922841 40.763964)"
"BX - Ditmars St/Hunter Ave 1","BX-ditmars-st-hunter-ave-1hczk0","2023-08-04T00:00:00.000","Yes","2023-10-12T00:00:00.000","Ditmars Street","Bronx","10464","210","BX10","2051601","BX1003","40.849405","-73.789165","11.77","POINT (-73.789165 40.849405)"
"BX - 1st St/Avenue A","BX-1st-st-avenue-a-1zby90","2024-07-18T00:00:00.000","No",,"Avenue A","Bronx","10474","202","BX02","2011702","BX0201","40.812851","-73.881043","3.62","POINT (-73.881043 40.812851)"
"M - Broadway/W 157th St","M-w-157th-ave-broadway-1vr9w0","2024-05-10T00:00:00.000","No",,"West 157th Street","Manhattan","10032","112","MN12","1024100","MN1201","40.834239","-73.945121","11.14","POINT (-73.945121 40.834239)"
"BX - Morris Ave/E 170th St","BX-morris-ave-e-170th-st-214qm0","2024-08-22T00:00:00.000","No","2025-10-24T00:00:00.000","Morris Avenue","Bronx","10456","204","BX04","2017702","BX0403","40.837699","-73.911451","9.72","POINT (-73.911451 40.837699)"
"Q - Beach Channel Dr/Beach 48th St","Q-beach-channel-dr-beach-48th-st-1zdub0","2024-07-19T00:00:00.000","Yes",,"Beach 48th Street","Queens","11691","414","QN14","4097204","QN1402","40.595001","-73.779035","7.83","POINT (-73.779035 40.595001)"
"Q - Beach Channel Dr/Beach 38th St","Q-beach-channel-dr-beach-38th-st-1zduho","2024-07-19T00:00:00.000","Yes",,"Beach 38th Street","Queens","11691","414","QN14","4099200","QN1401","40.595733","-73.770498","6.5","POINT (-73.770498 40.595733)"
"BK -  Farragut Rd/ Rockaway Pkwy","BK-farragut-rd-rockaway-pkwy-1umj80","2024-04-18T00:00:00.000","No",,"Farragut Road","Brooklyn","11236","318","BK18","3097000","BK1803","40.646557","-73.904204","16.57","POINT (-73.904204 40.646557)"
"Q - 231st St/ 148th Ave","Q-231st-st-148th-ave-1edkw0","2023-06-07T00:00:00.000","Yes",,"148th Avenue","Queens","11413","413","QN13","4069400","QN1306","40.655678","-73.751291","6.73","POINT (-73.751291 40.655678)"
"BK - Marcy Ave/Flushing Ave","BK-marcy-ave-flushing-ave-19qzo0","2023-03-09T00:00:00.000","No","2024-12-19T00:00:00.000","Marcy Avenue","Brooklyn","11206","301","BK03","3025500","BK0301","40.699283","-73.950083","4.8","POINT (-73.950083 40.699283)"
"BK - Jewel St/ Greenpoint Ave","BK-newel-st-greenpoint-ave-2k9o50","2025-08-29T00:00:00.000","No",,"Jewel Street","Brooklyn","11222","301","BK01","3057902","BK0101","40.73051","-73.94872","11.69","POINT (-73.94872 40.73051)"
"Q - 83rd Pl/Penelope Ave","Q-penelope-ave-83rd-pl-1vcug0","2024-05-02T00:00:00.000","No",,"83rd Place","Queens","11379","405","QN05","4066301","QN0504","40.721347","-73.870753","5.08","POINT (-73.870753 40.721347)"
"BK - Farragut Rd/Rogers Ave","BK-farragut-rd-rogers-ave-20rv00","2024-08-15T00:00:00.000","No",,"Farragut Road","Brooklyn","11210","314","BK14","3078801","BK1401","40.636159","-73.950699","2.64","POINT (-73.950699 40.636159)"
"Q - 30th Ave/89th St","Q-30th-ave-89th-st-1pmzc0","2024-01-12T00:00:00.000","No",,"30th Avenue","Queens","11369","403","QN03","4033900","QN0301","40.761834","-73.879978","19.33","POINT (-73.879978 40.761834)"
"SI - Laredo Ave/Pompey Ave","SI-pompey-ave-laredo-ave-2msi00","2025-10-17T00:00:00.000","No",,"Laredo Avenue","Staten Island","10312","503","SI03","5017011","SI0302","40.549207","-74.172037","8.9","POINT (-74.172037 40.549207)"
"BK - Avenue P/E 9th St","BK-avenue-p-e-9th-st-20rub0","2024-08-15T00:00:00.000","No",,"Avenue P","Brooklyn","11223","312","BK12","3044200","BK1204","40.609813","-73.964606","9.96","POINT (-73.964606 40.609813)"
"BX - Dewey Ave/ Balcom Ave","BX-balcom-ave-dewey-ave-2n5dw0","2025-10-24T00:00:00.000","No",,"Dewey Avenue","Bronx","10465","210","BX10","2014400","BX1002","40.82035","-73.82525","11.65","POINT (-73.82525 40.82035)"
"SI - Bedford Ave/Kiswick St","SI-bedford-ave-kiswick-st-1j3pw0","2023-09-07T00:00:00.000","Yes",,"Bedford Avenue","Staten Island","10306","502","SI02","5011203","SI0202","40.575318","-74.095266","9.13","POINT (-74.095266 40.575318)"
"BX - Brady Ave/ Muliner Ave","BX-brady-ave-muliner-ave-2917g0","2025-01-23T00:00:00.000","No",,"Muliner Avenue","Bronx","10462","211","BX11","2024600","BX1102","40.852026","-73.86201","3.7","POINT (-73.86201 40.852026)"
"Q - 59th Ave/175th St","Q-59th-ave-175th-st-21u2nc","2024-09-05T00:00:00.000","No",,"175th Street","Queens","11365","411","QN11","4141700","QN1101","40.740155","-73.795243","9.72","POINT (-73.795243 40.740155)"
"BK - Kent Ave/Wallabout St","BK-kent-ave-wallabout-st-19r2g0","2023-03-09T00:00:00.000","No",,"Kent Avenue","Brooklyn","11249","301","BK01","3053700","BK0103","40.699336","-73.960584","10.31","POINT (-73.960584 40.699336)"
"BK - Newel Ave/ Meserole St","BK-meserole-ave-newel-st-2if0k0","2025-07-24T00:00:00.000","No",,"Newel Street, Newell Street","Brooklyn","11222","301","BK01","3057300","BK0101","40.728355","-73.94935","10.2","POINT (-73.94935 40.728355)"
"Q - 161st Ave/99th St","Q-161st-ave-99th-st-1a5q80","2023-03-17T00:00:00.000","Yes",,"161st Avenue, Grimm Avenue","Queens","11414","410","QN10","4088400","QN1003","40.656567","-73.833553","18.15","POINT (-73.833553 40.656567)"
"BK - Oceanview Ave/Ocean View Ave","BK-oceanview-ave-ocean-view-ave-20cdbc","2024-08-07T00:00:00.000","No","2024-10-31T00:00:00.000","Oceanview Avenue, Ocean View Avenue","Brooklyn","11235","313","BK13","3036200","BK1303","40.579007","-73.964718","0","POINT (-73.964718 40.579007)"
"BX - White Plains Rd/Story Ave","BX-white-plains-rd-story-ave-1zbxz0","2024-07-18T00:00:00.000","No",,"Story Avenue","Bronx","10473","209","BX09","2004200","BX0902","40.824326","-73.858637","16.34","POINT (-73.858637 40.824326)"
"BK - Marion St/Howard Ave","BK-marion-st-howard-ave-215zzc","2024-08-23T00:00:00.000","No",,"Marion Street","Brooklyn","11233","303","BK03","3037900","BK0302","40.680855","-73.91946","8.78","POINT (-73.91946 40.680855)"
"BK - Rockaway Pkwy/ Clarkson Ave","BK-rockaway-pkwy-clarkson-ave-1dni00","2023-05-24T00:00:00.000","No",,"Rockaway Parkway","Brooklyn","11212","317","BK17","3089200","BK1704","40.661108","-73.919957","21.14","POINT (-73.919957 40.661108)"
"Q - Woodhull Ave/ 193rd St","Q-woodhull-ave-193rd-st-2msf80","2025-10-17T00:00:00.000","No",,"193rd Street","Queens","11423","412","QN12","4050000","QN1206","40.71099","-73.76662","9.53","POINT (-73.76662 40.71099)"
"SI - Minthorne St/ Victory Blvd","SI-bay-st-minthorne-st-2agb10","2025-02-19T00:00:00.000","No",,"Minthorne Street","Staten Island","10301","501","SI01","5002100","SI0102","40.637624","-74.07525","7.8","POINT (-74.07525 40.637624)"
"Q - 147th Ave/Springfield Ln","Q-147th-ave-springfield-ln-20pvio","2024-08-14T00:00:00.000","No",,"Springfield Lane","Queens","11413","413","QN13","4032000","QN1306","40.659535","-73.759907","12.83","POINT (-73.759907 40.659535)"
"M - E 79th St/ Park Ave","M-e-79th-st-park-ave-2ausk0","2025-02-27T00:00:00.000","No",,"East 79th Street","Manhattan","10075","108","MN08","1014200","MN0802","40.776","-73.96116","6.65","POINT (-73.96116 40.776)"
"M - Park Ave/ Tito Puente Wy","M-park-ave-tito-puente-wy-1yjco0","2024-07-03T00:00:00.000","No",,"East 110th Street","Manhattan","10029","111","MN11","1017402","MN1101","40.795714","-73.946467","14.88","POINT (-73.946467 40.795714)"
"BX - Furman Ave/ E240th St","BX-e-240th-st-furman-ave-2n5dw0","2025-10-24T00:00:00.000","No",,"Furman Avenue","Bronx","10470","212","BX12","2043400","BX1203","40.90155","-73.85064","8.62","POINT (-73.85064 40.90155)"
"BK - Wythe Ave/Wallabout St","BK-wythe-ave-wallabout-st-19qzo0","2023-03-09T00:00:00.000","No",,"Wythe Avenue","Brooklyn","11249","301","BK01","3053700","BK0103","40.699542","-73.958983","5.63","POINT (-73.958983 40.699542)"
"SI - Snug Harbor Rd / Kissel Ave","SI-kissel-ave-snug-harbor-rd-2agb9c","2025-02-19T00:00:00.000","No",,"Snug Harbor Road","Staten Island","10310","501","SI01","5009702","SI0191","40.644221","-74.106407","5.67","POINT (-74.106407 40.644221)"
"BK - Walton St/Marcy Ave","BK-walton-st-marcy-ave-19qww0","2023-03-09T00:00:00.000","No",,"Walton Street","Brooklyn","11206","301","BK01","3053102","BK0103","40.700821","-73.951335","10.91","POINT (-73.951335 40.700821)"
"BX - Barnes Ave/Bruner Ave","BX-bruner-ave-barnes-ave-1vpi00","2024-05-09T00:00:00.000","No","2025-10-24T00:00:00.000","Bruner Avenue","Bronx","10466","212","BX12","2043600","BX1203","40.899255","-73.849858","8.62","POINT (-73.849858 40.899255)"
"BK - Fulton St/ Malcom X Blvd","BK-malcolm-x-blvd-fulton-st-2mfbf0","2025-10-10T00:00:00.000","No",,"Fulton Street","Brooklyn","11233","303","BK03","3038100","BK0302","40.6793","-73.92834","6.38","POINT (-73.92834 40.6793)"
"BK - 41st St/2nd Ave","BK-2nd-ave-41st-st-20cdbc","2024-08-07T00:00:00.000","No",,"41st Street","Brooklyn","11232","307","BK07","3000200","BK0702","40.654176","-74.011831","13.58","POINT (-74.011831 40.654176)"
"Q - 177th St/147th Ave","Q-177th-st-147th-ave-20pvr0","2024-08-14T00:00:00.000","No",,"177th Street","Queens","11434","413","QN13","4032000","QN1306","40.660523","-73.768886","14.65","POINT (-73.768886 40.660523)"
"M - W 125th St/12th Ave","M-w-125th-st-12th-ave-1yji80","2024-07-03T00:00:00.000","No",,"West 130th Street","Manhattan","10027","109","MN09","1021900","MN0902","40.818058","-73.959927","23.9","POINT (-73.959927 40.818058)"
"SI - McLaughlin St/Agnes Pl","SI-mclaughlin-st-agnes-pl-1aigk0","2023-03-24T00:00:00.000","Yes",,"McLaughlin Street","Staten Island","10305","502","SI02","5007002","SI0201","40.589132","-74.072692","16.69","POINT (-74.072692 40.589132)"
"BX - Cross St/Minnieford Ave","BX-cross-st-minnieford-ave-1kwos0","2023-10-12T00:00:00.000","Yes",,"Minnieford Avenue","Bronx","10464","210","BX10","2051601","BX1003","40.853159","-73.788843","7.2","POINT (-73.788843 40.853159)"
"BX - E 165th St/Teller Ave","BX-e-165th-st-teller-ave-214ty0","2024-08-22T00:00:00.000","No",,"East 165th Street","Bronx","10456","204","BX04","2017300","BX0401","40.828463","-73.914039","8.5","POINT (-73.914039 40.828463)"
"BK - E 17th St/Elm Ave","BK-elm-ave-e-17th-st-2lawnc","2025-09-18T00:00:00.000","No",,"East 17th Street","Brooklyn","11230","314","BK14","3076800","BK1403","40.618491","-73.958259","9.72","POINT (-73.958259 40.618491)"
"BK - E 57th St/Snyder Ave","BK-e-57th-st-snyder-ave-20rw0o","2024-08-15T00:00:00.000","No",,"Snyder Avenue","Brooklyn","11203","317","BK17","3093600","BK1703","40.650585","-73.923201","20.43","POINT (-73.923201 40.650585)"
"Q - Maurice Ave/Queens Midtown Expressway","Q-maurice-ave-queens-midtown-expy-1vejk0","2024-05-03T00:00:00.000","No",,"Queens Midtown Expressway, Borden Avenue","Queens","11378","405","QN05","4051100","QN0501","40.727627","-73.90663","11.3","POINT (-73.90663 40.727627)"
"BX - Cedar Ave/W 179th St","BX-w-179th-st-cedar-ave-1vpt40","2024-05-09T00:00:00.000","No",,"Cedar Avenue","Bronx","10453","205","BX05","2024700","BX0501","40.855564","-73.917483","2.87","POINT (-73.917483 40.855564)"
"BX - Bronxdale Ave/ Poplar St","BX-bronxdale-ave-poplar-st-291z80","2025-01-23T00:00:00.000","No",,"Bronxdale Avenue","Bronx","10462","211","BX11","2023800","BX1101","40.84272","-73.85472","5.98","POINT (-73.85472 40.84272)"
"Q - Hillside Ave/127th St","Q-hillside-ave-127th-st-21vxbc","2024-09-06T00:00:00.000","No",,"127th Street","Queens","11418","409","QN09","4014201","QN0902","40.703141","-73.824329","9.25","POINT (-73.824329 40.703141)"
"Q - Holly Ave/Union St","Q-holly-ave-union-st-1vcow0","2024-05-02T00:00:00.000","No",,"Holly Avenue, 46th Avenue","Queens","11355","407","QN07","4120500","QN0705","40.751463","-73.817921","3.58","POINT (-73.817921 40.751463)"
"SI - Quincy Ave/Iona St","SI-quincy-ave-iona-st-1deh00","2023-05-19T00:00:00.000","Yes",,"Quincy Avenue, Comanche Avenue","Staten Island","10305","502","SI02","5011201","SI0202","40.576402","-74.084275","3.7","POINT (-74.084275 40.576402)"
"Q - 48th St / 47th Ave","Q-48th-st-47th-ave-2k9p90","2025-08-29T00:00:00.000","No",,"47th Avenue","Queens","11377","402","QN02","4023502","QN0202","40.740978","-73.917136","2.8","POINT (-73.917136 40.740978)"
"BK - Troy Ave/Farragut Rd","BK-troy-ave-farragut-rd-20rv6o","2024-08-15T00:00:00.000","No",,"Farragut Road","Brooklyn","11203","317","BK17","3083600","BK1702","40.637051","-73.934856","8.5","POINT (-73.934856 40.637051)"
"Q - Beach 84 St","Q-beach-84-st-0me680","2021-12-10T00:00:00.000","Yes",,"Beach 84th Street","Queens","11693","414","QN14","4094202","QN1402","40.59136","-73.80996","8.27","POINT (-73.80996 40.59136)"
"Q - 85th St/91st Ave","Q-85th-st-91st-ave-1zbc0d","2025-03-13T00:00:00.000","No",,"85th Street","Queens","11421","409","QN09","4000800","QN0905","40.687854","-73.857288","15.75","POINT (-73.857288 40.687854)"
"BX - River Ave / E 153rd St","BX-e-153rd-st-river-ave-2kksk0","2025-09-04T00:00:00.000","No",,"River Avenue, Cromwell Avenue","Bronx","10451","204","BX04","2006301","BX0401","40.82434","-73.92807","11.89","POINT (-73.92807 40.82434)"
"SI - Lenevar Ave & Drumgoole Rd W","SI-lenevar-ave--drumgoole-rd-w-1wubg0","2024-05-31T00:00:00.000","No",,"Lenevar Avenue","Staten Island","10309","503","SI03","5020803","SI0304","40.531504","-74.206958","8.03","POINT (-74.206958 40.531504)"
"Q - 48th Ave/108th St","Q-48th-ave-108th-st-20pto0","2024-08-14T00:00:00.000","No",,"108th Street","Queens","11368","404","QN04","4041500","QN0402","40.746128","-73.856278","54.49","POINT (-73.856278 40.746128)"
"Q - 149th Ave/ Brookville Blvd","Q-149th-ave-brookville-blvd-1f54k0","2023-06-22T00:00:00.000","Yes","2025-08-21T00:00:00.000","149th Avenue","Queens","11422","413","QN13","4069400","QN1306","40.65259","-73.746435","15.24","POINT (-73.746435 40.65259)"
"SI - Chapin Ave/Dalemere Rd","SI-chapin-ave-dalemere-rd-1uzko0","2024-04-25T00:00:00.000","No",,"Chapin Avenue","Staten Island","10304","502","SI02","5017701","SI0203","40.597499","-74.101773","4.33","POINT (-74.101773 40.597499)"
"BX - Boynton Ave/Lafayette Ave","BX-boynton-ave-lafayette-ave-1zby7c","2024-07-18T00:00:00.000","No",,"Lafayette Avenue","Bronx","10473","209","BX09","2002800","BX0901","40.819703","-73.876275","9.37","POINT (-73.876275 40.819703)"
"SI - Sweetbrook Rd & Ridgewood Ave","SI-sweetbrook-rd--ridgewood-ave-1wue80","2024-05-31T00:00:00.000","No",,"Leverett Avenue","Staten Island","10312","503","SI03","5014607","SI0302","40.555541","-74.164706","50.51","POINT (-74.164706 40.555541)"
"BK - Ocean Pkwy/Avenue W","BK-ocean-pkwy-avenue-w-20rtno","2024-08-15T00:00:00.000","No",,"Ocean Parkway, Ocean Parkway Service Road","Brooklyn","11223","315","BK15","3039000","BK1501","40.593196","-73.96431","5.98","POINT (-73.96431 40.593196)"
"BX - Tibbett Ave/W 234th St","BX-w-234th-st-tibbett-ave-2cakho","2025-03-27T00:00:00.000","No",,"Tibbett Avenue","Bronx","10463","208","BX08","2028700","BX0802","40.88326","-73.90585","4.09","POINT (-73.90585 40.88326)"
"SI - Rector St/Richmond Terr","SI-rector-st-richmond-terr-1aijc0","2023-03-24T00:00:00.000","Yes",,"Rector Street","Staten Island","10310","501","SI01","5013302","SI0106","40.637113","-74.127786","9.02","POINT (-74.127786 40.637113)"
"BK - Blake Ave/Strauss St","BK-blake-ave-strauss-st-1dnks0","2023-05-24T00:00:00.000","No",,"Blake Avenue","Brooklyn","11212","316","BK16","3090200","BK1602","40.664865","-73.915238","10.67","POINT (-73.915238 40.664865)"
"Q - Huxley St/ Craft Ave","Q-craft-ave-huxley-st-2ol8k0","2025-11-21T00:00:00.000","No",,"Craft Avenue","Queens","11422","413","QN13","4066403","QN1307","40.64969","-73.73694","8.62","POINT (-73.73694 40.64969)"
"BK - E 45th St/ Rutland Rd","BK-e-45th-st-rutland-rd-1dnf80","2023-05-24T00:00:00.000","No",,"East 45th Street","Brooklyn","11203","309","BK09","3087600","BK0902","40.660232","-73.936183","10.31","POINT (-73.936183 40.660232)"
"SI - Grimsby St/ Mapleton Ave","SI-grimsby-st-mapleton-ave-1de5w0","2023-05-19T00:00:00.000","Yes",,"Grimsby Street","Staten Island","10306","502","SI02","5011203","SI0202","40.574836","-74.093448","7.68","POINT (-74.093448 40.574836)"
"Q - 87th St/Astoria Blvd","Q-87th-st-astoria-blvd-1pmwk0","2024-01-12T00:00:00.000","No",,"87th Street","Queens","11369","403","QN03","4032900","QN0302","40.764667","-73.881841","4.92","POINT (-73.881841 40.764667)"
"Q - 108th Ave/159th St","Q-108th-ave-159th-st-1jtss0","2023-09-21T00:00:00.000","No",,"108th Avenue","Queens","11433","412","QN12","4025402","QN1202","40.695384","-73.794011","6.73","POINT (-73.794011 40.695384)"
"Q - Beach 84 St (2)","Q-beach-84th-st-beach-channel-dr-2nf0xc","2025-10-29T00:00:00.000","Yes",,"Beach 84th Street","Queens","11693","414","QN14","4094202","QN1402","40.591699","-73.809929","5.39","POINT (-73.809929 40.591699)"
"Q - 169th St/Underhill Ave","Q-169th-st-underhill-ave-21u2nc","2024-09-05T00:00:00.000","No",,"169th Street","Queens","11365","407","QN07","4120701","QN0705","40.746942","-73.799275","10.2","POINT (-73.799275 40.746942)"
"BX - Virginia Ave/E 177th St","BX-virginia-ave-e-177th-st-1zbxsc","2024-07-18T00:00:00.000","No","2025-10-24T00:00:00.000","East 177th Street","Bronx","10472","209","BX09","2007200","BX0903","40.832581","-73.861014","9.49","POINT (-73.861014 40.832581)"
"Q - 69th Ave/195th Ln","Q-69th-ave-195th-ln-21u2nc","2024-09-05T00:00:00.000","No",,"69th Avenue","Queens","11365","408","QN08","4134702","QN0803","40.736703","-73.778413","9.37","POINT (-73.778413 40.736703)"
"Q - Roosevelt Ave/63rd St","Q-roosevelt-ave-63rd-st-214pvc","2024-08-22T00:00:00.000","No",,"63rd Street","Queens","11377","402","QN02","4026100","QN0203","40.745686","-73.901113","27.36","POINT (-73.901113 40.745686)"
"BX - Broadway/Mosholu Ave","BX-mosholu-ave-broadway-2cal1o","2025-03-27T00:00:00.000","No",,"Broadway, New York 9 A, US Highway 9 South, New York State Route 9A, US-9 North, US Highway 9 North, State Route 9 A, US-9 South","Bronx","10471","226","BX26","2043503","BX2691","40.90418","-73.89626","9.25","POINT (-73.89626 40.90418)"
"SI - Genesee Ave/Richmond Ave","SI-genesee-ave-richmond-ave-20e7zc","2024-08-08T00:00:00.000","No",,"Richmond Avenue","Staten Island","10312","503","SI03","5017012","SI0302","40.552834","-74.168147","19.09","POINT (-74.168147 40.552834)"
"BX - Sampson Ave/ 7th Ave","BX-reynolds-ave-sampson-ave-291vio","2025-01-23T00:00:00.000","No","2025-02-26T00:00:00.000","Sampson Avenue","Bronx","10465","210","BX10","2013800","BX1002","40.823316","-73.810488","2.05","POINT (-73.810488 40.823316)"
"BK - Pioneer St/Conover St","BK-pioneer-st-conover-st-0pzvo0","2022-02-18T00:00:00.000","No",,"Conover Street","Brooklyn","11231","306","BK06","3005301","BK0601","40.679734","-74.012422","16.22","POINT (-74.012422 40.679734)"
"M - Mangin St/Stanton St","M-stanton-st-mangin-st-1vri80","2024-05-10T00:00:00.000","No",,"Stanton Street, A New Street","Manhattan","10002","103","MN03","1001002","MN0302","40.717852","-73.976247","12.01","POINT (-73.976247 40.717852)"
"Q - Beach 42nd St/Beach Channel Dr","Q-beach-42nd-st-beach-channel-dr-1zduec","2024-07-19T00:00:00.000","Yes",,"Beach Channel Drive","Queens","11691","414","QN14","4097206","QN1402","40.595867","-73.773651","10.59","POINT (-73.773651 40.595867)"
"Q - Bell Blvd / Northern Blvd","Q-bell-blvd-northern-blvd-2kxsno","2025-09-11T00:00:00.000","No",,"Northern Boulevard, New York State Route 25A, State Route 25 A, New York 25 A","Queens","11361","411","QN11","4146700","QN1102","40.760432","-73.769284","9.13","POINT (-73.769284 40.760432)"
"Q - 150th St/41st Ave","Q-41st-ave-150th-st-1vcm40","2024-05-02T00:00:00.000","No",,"41st Avenue","Queens","11355","407","QN07","4116700","QN0704","40.762516","-73.813991","10.43","POINT (-73.813991 40.762516)"
"M - W 81st St/ Riverside Dr","M-riverside-dr-w-81st-st-2ausk0","2025-02-27T00:00:00.000","No",,"Riverside Drive","Manhattan","10024","107","MN07","1016700","MN0702","40.786217","-73.981525","10.16","POINT (-73.981525 40.786217)"
"M - Lexington Ave/E 26th St","M-e-26th-st-lexington-ave-2mfdi0","2025-10-10T00:00:00.000","No",,"Lexington Avenue","Manhattan","10010","106","MN06","1006800","MN0602","40.74119","-73.98337","10.24","POINT (-73.98337 40.74119)"
