"sensor_name","sensor_id","date_installed","tidally_influenced","date_removed","street_name","borough","zipcode","community_board","council_district","census_tract","nta","latitude","longitude","lowest_point_height_delta_inches","location"
"Q - 1st St/Rockaway Blvd","Q-1st-st-rockaway-blvd-20pwq0","2024-09-19T00:00:00.000","No",,"Rockaway Boulevard, New York State Route 878, State Route 878, New York 878","Queens","11422","413","QN13","4066401","QN1307","40.638098","-73.740976","11.42","POINT (-73.740976 40.638098)"
"SI - Willow Rd E/Nina Ave","SI-willow-rd-e-nina-ave-0xx2c0","2022-07-22T00:00:00.000","No",,"Willow Road East","Staten Island","10314","501","SI01","5025100","SI0105","40.61133","-74.151058","19.09","POINT (-74.151058 40.61133)"
"SI - Baden Pl/ Mapleton Ave","SI-baden-pl-mapleton-ave-1dejs0","2023-05-19T00:00:00.000","Yes",,"Mapleton Avenue","Staten Island","10306","502","SI02","5011203","SI0202","40.573189","-74.090386","10.43","POINT (-74.090386 40.573189)"
"BK - Marcy Ave/Ellery St","BK-marcy-av-ellery-st-007vc0","2020-10-05T00:00:00.000","No","2023-03-09T00:00:00.000","Marcy Avenue","Brooklyn","11206","303","BK03","3025500","BK0301","40.697974","-73.949837","20.87","POINT (-73.949837 40.697974)"
"Q - 160th St/Brinkerhoff Ave 2","Q-160th-st-110th-ave-2l96m0","2025-09-17T00:00:00.000","No",,"160th Street","Queens","11433","412","QN12","4026000","QN1202","40.692547","-73.791085","8.78","POINT (-73.791085 40.692547)"
"BX - Webster Ave/E 174th St","BX-e-174th-st-webster-ave-2lane0","2025-09-25T00:00:00.000","No",,"Webster Avenue","Bronx","10457","203","BX03","2016500","BX0302","40.84425","-73.90273","9.61","POINT (-73.90273 40.84425)"
"BX - Tinton Ave/E 163rd St","BX-tinton-ave-e-163rd-st-2lan40","2025-09-25T00:00:00.000","No",,"Tinton Avenue","Bronx","10456","203","BX03","2013300","BX0301","40.822773","-73.903054","0","POINT (-73.903054 40.822773)"
"BX - Webster Ave/E 166th St","BX-webster-ave-e-166th-st-215110","2024-08-22T00:00:00.000","No",,"Webster Avenue","Bronx","10456","203","BX04","2014300","BX0401","40.829267","-73.911467","1.46","POINT (-73.911467 40.829267)"
"M - Avenue C/E 5th St","M-avenue-c-e-5th-st-1zmfzc","2024-07-24T00:00:00.000","No",,"East 5th Street","Manhattan","10009","103","MN03","1002601","MN0303","40.722973","-73.979801","9.37","POINT (-73.979801 40.722973)"
"BK - Ocean Ave/Dorchester Rd","BK-ocean-ave-dorchester-rd-1lbi40","2023-10-20T00:00:00.000","No",,"Ocean Avenue","Brooklyn","11226","314","BK14","3051800","BK1402","40.641051","-73.959463","10.43","POINT (-73.959463 40.641051)"
"BK - Thatford Ave/ Riverdale Ave","BK-riverdale-ave-thatford-ave-2nick0","2025-10-31T00:00:00.000","No",,"Thatford Avenue","Brooklyn","11212","316","BK16","3091800","BK1602","40.66125","-73.90755","7.05","POINT (-73.90755 40.66125)"
"BK - Coney Island Ave/Brighton Beach Ave","BK-coney-island-ave-brighton-beach-ave-20cdbc","2024-08-07T00:00:00.000","No",,"Coney Island Avenue","Brooklyn","11235","313","BK13","3061002","BK1303","40.577475","-73.959509","10.08","POINT (-73.959509 40.577475)"
"Q - 98th St/Alstyne Ave","Q-98th-st-alstyne-ave-20pz80","2024-08-14T00:00:00.000","No",,"Alstyne Avenue","Queens","11368","404","QN04","4041100","QN0402","40.743128","-73.864458","8.27","POINT (-73.864458 40.743128)"
"BK - Brooklyn Ave/St Johns Pl","BK-saint-johns-pl-brooklyn-ave-2rrwpc","2026-01-22T00:00:00.000","No",,"Saint John's Place","Brooklyn","11213","308","BK08","3033900","BK0802","40.671266","-73.944861","6.38","POINT (-73.944861 40.671266)"
"BX - Walnut Ave / E 139th St","BX-rose-feiss-blvd-e-139th-st-2kkyj0","2025-09-04T00:00:00.000","No",,"East 139th Street","Bronx","10454","201","BX01","2001903","BX0101","40.803499","-73.907906","8.78","POINT (-73.907906 40.803499)"
"Q - Brookville Blvd/ Snake Rd 2","Q-brookville-blvd-rockaway-blvd-2-23nei0","2024-10-10T00:00:00.000","Yes",,"Brookville Boulevard","Queens","11422","413","QN13","4066401","QN1307","40.6437","-73.7442","12.83","POINT (-73.7442 40.6437)"
"BK - Marcy Ave/Hopkins St","BK-marcy-ave-hopkins-st-278inc","2024-12-19T00:00:00.000","No",,"Marcy Avenue","Brooklyn","11206","303","BK03","3025500","BK0301","40.698989","-73.949968","11.42","POINT (-73.949968 40.698989)"
"BX - E 165th St/River Ave","BX-e-165th-st-river-ave-214rec","2024-08-22T00:00:00.000","No","2025-10-24T00:00:00.000","East 165th Street","Bronx","10452","204","BX04","2006302","BX0491","40.832216","-73.924021","32.64","POINT (-73.924021 40.832216)"
